#{"t_start": 1778693341.135875, "env_id": "None"}
r,l,t
-95.76816,469,0.692003
-33.530037,1000,0.841589
-28.924768,1000,1.422629
-25.113247,1000,1.566651
-22.215902,1000,2.202909
-23.228569,1000,2.344614
-24.065922,1000,2.907524
-21.714842,1000,3.053668
-22.102795,1000,3.613748
-20.938616,1000,3.760987
-21.382116,1000,4.39042
-17.590393,1000,4.539246
-18.788696,1000,5.085581
-16.72756,1000,5.230047
-16.707489,1000,5.797066
-14.058739,1000,5.954469
-15.741961,1000,6.503126
-11.6197195,1000,6.649528
-13.612127,1000,7.220682
-11.9523115,1000,7.380118
-11.853196,1000,7.543218
-10.912893,1000,8.15783
-10.50058,1000,8.299547
-9.204421,1000,8.855158
-8.865057,1000,8.998764
-9.201763,1000,9.533642
-8.747805,1000,9.676268
-7.846601,1000,10.226704
-8.454941,1000,10.370067
-7.325394,1000,10.914939
-7.870755,1000,11.100883
-6.4546037,1000,11.652992
-6.2776427,1000,11.79923
-7.5037184,1000,12.340286
-6.1806664,1000,12.484738
-6.730436,1000,13.04015
-6.376327,1000,13.18081
-6.5146194,1000,13.788208
-5.5725527,1000,13.930208
-5.9546905,1000,14.550798
-4.7988834,1000,14.692612
-4.537713,1000,15.311167
-5.504489,1000,15.456705
-4.4822154,1000,16.083711
-4.688078,1000,16.253923
-4.9386997,1000,16.803313
-3.9305046,1000,16.949579
-4.459102,1000,17.576076
-5.182306,1000,17.755636
-4.159579,1000,18.295627
-4.1133685,1000,18.440225
-3.9460466,1000,18.989266
-4.1745315,1000,19.145332
-3.9540741,1000,19.739892
-4.095396,1000,19.940181
-4.357515,1000,20.536052
-3.8262086,1000,20.698662
-4.305051,1000,21.268194
-3.9107437,1000,21.413079
-4.1435475,1000,21.977126
-3.559205,1000,22.127381
-4.138428,1000,22.675818
-2.881666,1000,22.822118
-3.4637492,1000,23.03847
-3.893228,1000,23.627341
-3.3369844,1000,23.773822
-4.1125674,1000,24.312955
-3.2826216,1000,24.45575
-3.262776,1000,25.03417
-3.8591397,1000,25.21251
-3.8626132,1000,25.786286
-3.307331,1000,25.925883
-3.2696733,1000,26.520464
-3.339396,1000,26.663371
-3.3513856,1000,27.235529
-3.4157276,1000,27.380158
-3.2701654,1000,27.956776
-2.589288,1000,28.09808
-2.6270747,1000,28.657334
-3.0873418,1000,28.794613
-3.2507396,1000,29.353922
-3.5093398,1000,29.492584
-3.0152442,1000,30.050749
-2.791038,1000,30.208591
-3.2991397,1000,30.766056
-2.4174974,1000,30.904002
-2.57602,1000,31.444681
-2.2606926,1000,31.592572
-3.6123066,1000,32.131147
-3.098708,1000,32.26897
-2.8374195,1000,32.873723
-2.8593957,1000,33.013644
-2.8869874,1000,33.620405
-3.3920443,1000,33.764729
-3.6409194,1000,34.284566
-2.7092135,1000,34.425909
-2.7757351,1000,34.978339
-2.9567995,1000,35.132184
-3.4440124,1000,35.673509
-3.1367962,1000,35.841941
-3.4711368,1000,36.393777
-3.446411,1000,36.534293
-2.8951724,1000,37.063662
-2.8081295,1000,37.205502
-2.226651,1000,37.738748
-3.294039,1000,37.88433
-2.7542763,1000,38.027627
-2.8857284,1000,38.671931
-2.9412384,1000,38.810356
-2.923128,1000,39.327845
-2.8336174,1000,39.466387
-3.190735,1000,40.010358
-3.1106148,1000,40.149202
-2.9280367,1000,40.695371
-2.983492,1000,40.844697
-2.9433026,1000,41.427694
-2.9981506,1000,41.571961
-3.0270226,1000,42.124992
-2.6899526,1000,42.272878
-2.9027052,1000,42.831527
-3.43007,1000,42.973862
-3.3693223,1000,43.543937
-3.2889414,1000,43.682355
-3.1398582,1000,44.208104
-3.0784724,1000,44.348208
-2.5924754,1000,44.91997
-2.4980993,1000,45.058956
-3.325813,1000,45.616778
-2.591127,1000,45.758309
-2.6005447,1000,46.287096
-2.8716938,1000,46.426892
-3.072383,1000,46.933226
-2.050971,1000,47.069372
-2.7515922,1000,47.617111
-2.7960927,1000,47.753987
-3.116086,1000,48.333542
-2.8393276,1000,48.623098
-3.0020792,1000,49.165725
-2.7867486,1000,49.303795
-2.5645401,1000,49.86642
-2.487501,1000,50.011139
-2.379877,1000,50.642973
-2.3652444,1000,50.792462
-2.2758784,1000,51.355354
-2.5057976,1000,51.50337
-2.9072394,1000,52.088416
-2.9939468,1000,52.256608
-2.188044,1000,52.820586
-2.7123332,1000,52.957825
-2.815912,1000,53.097959
-2.4220006,1000,53.631169
-2.8834226,1000,53.771709
-2.2596917,1000,54.315397
-2.6563196,1000,54.457227
-2.3174474,1000,54.987517
-2.7140994,1000,55.122569
-2.3773088,1000,55.661567
-2.3607395,1000,55.799983
-2.4262133,1000,56.322452
-2.7283905,1000,56.462961
-2.818524,1000,57.174129
-2.0743356,1000,57.311161
-2.1682363,1000,58.005595
-2.4301038,1000,58.145193
-2.354897,1000,58.720039
-2.4761086,1000,58.861513
-2.0121498,1000,59.413783
-1.9068642,1000,59.551719
-2.8638513,1000,60.066358
-2.0936613,1000,60.207092
-2.4047074,1000,60.730318
-2.7911139,1000,60.866186
-2.2354152,1000,61.403694
-2.8660977,1000,61.544117
-2.2386405,1000,62.082832
-2.6586864,1000,62.23525
-3.0877078,1000,62.756623
-2.4569502,1000,62.897691
-2.5014896,1000,63.470391
-3.101953,1000,63.618635
-3.5483584,1000,64.162379
-2.4551277,1000,64.30139
-3.0137517,1000,64.913931
-3.1745691,1000,65.081502
-3.0079591,1000,65.680508
-2.1008384,1000,65.824417
-3.3617263,1000,66.369081
-2.7404568,1000,66.512804
-3.0830803,1000,67.052572
-2.7014651,1000,67.196282
-3.2547605,1000,67.73781
-3.011529,1000,67.880535
-2.7467365,1000,68.021567
-3.1156566,1000,68.558229
-2.5314293,1000,68.700295
-2.339628,1000,69.23011
-3.3930433,1000,69.367484
-3.2222056,1000,69.917444
-2.9830422,1000,70.057734
-2.3911388,1000,70.727156
-2.3747206,1000,70.872397
-2.659925,1000,71.403949
-2.120732,1000,71.547166
-2.8762054,1000,72.116223
-2.5698466,1000,72.257695
