#{"t_start": 1778684520.147746, "env_id": "None"}
r,l,t
-73.712425,1000,0.739226
-133.81184,1000,0.870368
-26.112965,1000,1.400226
-29.438694,1000,1.529723
-32.230988,1000,2.055674
-32.959503,1000,2.192417
-39.20823,1000,2.731627
-25.14413,1000,2.868902
-27.110287,1000,3.393228
-21.681103,1000,3.545746
-21.040632,1000,4.075328
-19.430464,1000,4.204979
-18.824364,1000,4.734104
-20.029,1000,4.864735
-19.490978,1000,5.406066
-15.719053,1000,5.536468
-16.76935,1000,6.082166
-14.56445,1000,6.219288
-15.045886,1000,6.829783
-14.828851,1000,6.967785
-13.388549,1000,7.483478
-12.956786,1000,7.619437
-13.491232,1000,8.131353
-11.538265,1000,8.260743
-12.151229,1000,8.770223
-11.047072,1000,8.905964
-9.929057,1000,9.421411
-10.363972,1000,9.557681
-9.799096,1000,10.066638
-8.346688,1000,10.198499
-9.323724,1000,10.714818
-8.582542,1000,10.846388
-7.847499,1000,11.350715
-8.024143,1000,11.487512
-7.399928,1000,12.000102
-7.4523354,1000,12.134557
-6.2912045,1000,12.653479
-6.655825,1000,12.792062
-7.206802,1000,13.360032
-6.6567087,1000,13.497074
-6.558269,1000,14.006232
-5.5829883,1000,14.134788
-5.457049,1000,14.276329
-5.796749,1000,14.810797
-4.9506536,1000,14.946873
-5.618892,1000,15.506191
-5.190316,1000,15.637531
-4.815953,1000,16.175035
-4.7302327,1000,16.315273
-5.458185,1000,16.862845
-4.9942794,1000,17.015347
