#{"t_start": 1778693527.876768, "env_id": "None"}
r,l,t
-34.39229,1000,0.719147
-241.82356,1000,0.86794
-29.315233,1000,1.560825
-35.98246,72,1.576602
-229.03279,1000,1.726047
-30.886818,1000,2.411156
-170.30438,1000,2.564449
-16.61346,1000,3.172787
-63.023876,422,3.243182
-36.1712,1000,3.931701
-20.199284,1000,4.07351
-31.66475,1000,4.583833
-29.64212,1000,4.7252
-21.677649,1000,5.265646
-21.758778,1000,5.403316
-18.270567,1000,5.917788
-19.389942,1000,6.069824
-21.23415,1000,6.626609
-16.338562,1000,6.774954
-23.186989,1000,7.315777
-15.89756,1000,7.463455
-16.741095,1000,7.995983
-26.446564,1000,8.140281
-15.691028,1000,8.281646
-13.066464,1000,8.796321
-17.098042,1000,8.939971
-14.04702,1000,9.450965
-13.869238,1000,9.58976
-16.243078,1000,10.099871
-13.032573,1000,10.241053
-14.027858,1000,10.755301
-14.95664,1000,10.892241
-10.801813,1000,11.401576
-17.994802,1000,11.552649
-10.921799,1000,12.15355
-11.361653,1000,12.307496
-13.650878,1000,12.906515
-9.061528,1000,13.053426
-10.048086,1000,13.645812
-13.010694,1000,13.788472
-13.91524,1000,14.364676
-9.543014,1000,14.536595
-9.60559,1000,15.110177
-10.005811,1000,15.259576
-6.1472,1000,15.83995
-13.430961,1000,15.994512
-8.251985,1000,16.700922
-6.0613832,1000,17.045194
-8.86602,1000,17.683003
-7.1565747,1000,17.865425
-9.163236,1000,18.406198
-7.801351,1000,18.551518
-5.8713717,1000,19.080687
-6.3344164,1000,19.225885
-6.7001133,1000,19.771385
-8.938598,1000,19.916437
-4.5741067,1000,20.440783
-5.6262774,1000,20.585348
-5.5159197,1000,21.122661
-4.7935605,1000,21.265789
-6.258268,1000,21.855182
-3.9649947,1000,22.005436
-4.612406,1000,22.655664
-7.8148518,1000,22.814715
-4.4864564,1000,23.462245
-6.449541,1000,23.616462
-4.6680846,1000,23.766161
-9.786336,1000,24.295695
-5.9377313,1000,24.435238
-3.1426911,1000,24.970324
-7.320969,1000,25.145773
-5.564933,1000,25.726584
-5.157669,1000,25.884381
-4.7945833,1000,26.458441
-4.232544,1000,26.614535
-5.690528,1000,27.217226
-4.157842,1000,27.368044
-10.212188,1000,28.049628
-3.3969133,1000,28.203486
-6.3391547,1000,28.779099
-2.8587744,1000,28.929294
-2.8794053,1000,29.504731
-5.3131795,1000,29.654384
-3.6308587,1000,30.231464
-3.4883163,1000,30.378262
-7.519372,1000,30.95985
-3.4158518,1000,31.104027
-8.457103,1000,31.657831
-3.7127728,1000,31.802949
-3.661354,1000,32.342588
-2.9457002,1000,32.486609
-2.8035126,1000,33.005491
-12.215174,1000,33.150849
-5.5313077,1000,33.733782
-6.1778283,1000,33.879069
-2.9905088,1000,34.427287
-10.452537,1000,34.571595
-4.9418406,1000,35.087392
-9.289373,1000,35.24006
-3.6611705,1000,35.855065
-10.13991,1000,36.009684
-3.507475,1000,36.618405
-5.9704633,1000,36.770752
-5.584439,1000,37.39196
-4.843747,1000,37.54359
-3.3196082,1000,38.090908
-4.583048,1000,38.288673
-4.57959,1000,38.456751
-4.3457923,1000,39.136399
-5.5533667,1000,39.303043
-6.349768,1000,39.863407
-1.5846378,1000,40.016294
-2.8944771,1000,40.585458
-6.7172537,1000,40.729596
-6.7822433,1000,41.294485
-5.0897374,1000,41.445692
-1.5834368,1000,41.985564
-4.799583,1000,42.129218
-2.319814,1000,42.670503
-5.108557,1000,42.81357
-4.4797645,1000,43.351717
-5.8667746,1000,43.489562
-5.999579,1000,44.001385
-8.341953,1000,44.139593
-4.0470386,1000,44.64583
-6.293401,1000,44.787535
-3.1671069,1000,45.31763
-1.4583561,1000,45.45506
-3.3996758,1000,46.001894
-13.08218,1000,46.139449
-2.6620631,1000,46.735865
-3.4366753,1000,46.890463
-5.7919436,1000,47.435129
-5.760512,1000,47.582545
-2.4344332,1000,48.183119
-5.7827115,1000,48.332743
-4.1942005,1000,48.923303
-5.070576,1000,49.070425
-2.5765839,1000,49.676129
-1.8640136,1000,49.820573
-3.4570332,1000,50.331807
-3.926622,1000,50.483501
-8.684913,1000,51.004913
-2.7682745,1000,51.145083
-2.903401,1000,51.687571
-6.2817245,1000,51.831798
-4.381906,1000,52.354919
-2.9785507,1000,52.554344
-3.8598006,1000,53.089475
-8.336101,1000,53.247453
-8.323283,1000,53.386985
-7.146595,1000,53.902694
-7.678223,1000,54.041848
-4.5797486,1000,54.549322
-5.233828,1000,54.692016
-5.355464,1000,55.227677
-1.8239384,1000,55.379378
-4.1187143,1000,55.925768
-5.217746,1000,56.069103
-5.1393275,1000,56.679612
-1.7336959,1000,56.830771
-6.792811,1000,57.42425
-2.6600811,1000,57.573466
-8.743189,1000,58.16308
-7.5508127,1000,58.312267
-4.993759,1000,58.865734
-1.9163531,1000,59.027607
-5.0954003,1000,59.584205
-8.879145,1000,59.737166
-5.8834496,1000,60.312884
-11.0908985,1000,60.454666
-3.6281846,1000,60.987716
-2.3814933,1000,61.125916
-10.912164,1000,61.64498
-7.3211718,1000,61.805429
-5.244964,1000,62.321736
-10.235741,1000,62.459182
-5.7091703,1000,63.012354
-7.719877,1000,63.154324
-3.6364899,1000,63.683988
-4.870396,1000,63.822512
-2.944554,1000,64.338855
-2.5443826,1000,64.477403
-1.6611534,1000,65.001067
-3.5876417,1000,65.140161
-4.1675487,1000,65.655812
-2.223793,1000,65.799103
-1.247186,1000,66.313576
-5.1724687,1000,66.454222
-2.2350836,1000,67.021514
-1.282894,1000,67.180915
-9.673048,1000,67.758852
-1.7246257,1000,67.909387
-9.27509,1000,68.064334
-8.425949,1000,68.649244
-1.2316417,1000,68.800884
-2.9735434,1000,69.386717
-3.2835488,1000,69.537705
-2.153184,1000,70.133027
-2.3096132,1000,70.28451
-2.0183077,1000,70.884106
-1.2115147,1000,71.030409
-4.7469487,1000,71.583929
-1.8429044,1000,71.744598
-6.435216,1000,72.330721
-2.750515,1000,72.481853
-2.415964,1000,73.052697
-8.221215,1000,73.199722
-4.052228,1000,73.779707
-4.2954807,1000,73.927988
-5.2200994,1000,74.491687
-2.8006008,1000,74.631988
-1.2126302,1000,75.182051
-5.1636086,1000,75.333699
-2.1012087,1000,75.948435
-1.7683308,1000,76.091239
-6.225743,1000,76.730088
-1.1554884,1000,76.97072
-8.654416,1000,77.550942
-6.9424033,1000,77.698498
-1.8403312,1000,78.220341
-5.8960304,1000,78.357326
-5.8076897,1000,78.868033
-9.763753,1000,79.00833
-2.798352,1000,79.515254
-6.423213,1000,79.654638
-4.215684,1000,80.165786
-9.598016,1000,80.30308
-2.2660127,1000,80.812598
-5.485253,1000,80.950122
-3.7089996,1000,81.458809
