#{"t_start": 1778684546.790891, "env_id": "None"}
r,l,t
-134.08047,406,0.562728
-196.77144,1000,0.720225
-31.340204,275,0.762059
-26.773775,1000,1.375079
-73.39425,623,1.460912
-28.302197,1000,2.021272
-57.00475,202,2.049879
-47.94973,293,2.091873
-17.495344,1000,2.228545
-23.318096,1000,2.773519
-29.24963,1000,2.912323
-24.709135,1000,3.444573
-18.11787,1000,3.580373
-17.95309,1000,4.120035
-17.820562,1000,4.285254
-17.137619,1000,4.839674
-22.769297,1000,4.979036
-15.998947,1000,5.563052
-17.31353,1000,5.705493
-17.940666,1000,6.338681
-15.75324,1000,6.492737
-13.151643,1000,7.08015
-14.143394,1000,7.226768
-11.575093,1000,7.847146
-13.043085,1000,8.002103
-13.904065,1000,8.647173
-10.481424,1000,8.786489
-12.888227,1000,9.336056
-9.364004,1000,9.493592
-14.67568,1000,10.073501
-14.907423,1000,10.217004
-12.673895,1000,10.827524
-9.359085,1000,10.971395
-8.621981,1000,11.519973
-16.073812,1000,11.669987
-8.306348,1000,12.344195
-8.401302,1000,12.488478
-8.047875,1000,12.629336
-6.9390244,1000,13.180451
-13.715004,1000,13.325229
-8.860381,1000,13.95652
-13.19373,1000,14.106677
-7.877603,1000,14.681542
-12.378151,1000,14.821353
-9.054352,1000,15.376487
-10.528128,1000,15.512637
-10.053065,1000,16.08767
-7.7017074,1000,16.226516
-14.033194,1000,16.764011
-4.8156934,1000,16.921296
-9.527607,1000,17.482397
-6.1763105,1000,17.646297
-7.118503,1000,18.214623
-6.1606913,1000,18.366806
