controller,scenario,avg_return,mean_abs_theta,max_abs_theta,failure_rate,control_energy,intervention_rate,n_episodes
NoControl,normal_wind,-10.032157330278661,0.0609115836037786,0.2524774372577667,0.0,0.0,0.0,5
PD,normal_wind,-2.6479222659908648,0.020646722403606693,0.08206792920827866,0.0,25.580862698639546,0.0,5
PPO,normal_wind,-4.578662526308058,0.026843094216497047,0.10349802672863007,0.0,96.64090509430892,0.0,5
PPO+Safety,normal_wind,-4.537085569813293,0.02573756592847094,0.09477817267179489,0.0,95.51193116410181,0.0,5
PPO-Randomized,normal_wind,-5.3421022381038625,0.02617717459028463,0.10725702345371246,0.0,130.9579608974895,0.0,5
PPO-Randomized+Safety,normal_wind,-5.469822465697759,0.026122786263209036,0.10680179297924042,0.0,134.15630535466778,0.0,5
NoControl,strong_wind,-121.6283097116617,0.09796113212502112,0.3047497272491455,1.0,0.0,0.0,5
PD,strong_wind,-10.291307838677913,0.040595335637782407,0.1663811355829239,0.0,100.35177254768662,0.0,5
PPO,strong_wind,-11.444303632883782,0.04842683793006254,0.2195311337709427,0.0,150.2472125243793,0.0,5
PPO+Safety,strong_wind,-11.634956328015438,0.04949776355833747,0.21066239476203918,0.0,148.03260102854745,0.0,5
PPO-Randomized,strong_wind,-12.050089586165338,0.04826097411637356,0.19657902419567108,0.0,194.91535050850388,0.0,5
PPO-Randomized+Safety,strong_wind,-12.303976457705568,0.04877168462981899,0.19486865401268005,0.0,191.98948388236803,0.0,5
NoControl,variable_wind,-238.23535403718188,0.11815945600324063,0.30153873562812805,1.0,0.0,0.0,5
PD,variable_wind,-10.641610662868505,0.06326642914667846,0.1853194534778595,0.0,149.86071618345426,0.0,5
PPO,variable_wind,-78.08143816981412,0.11237434790759435,0.301493763923645,0.4,110.14118822664545,0.0,5
PPO+Safety,variable_wind,-208.23777936874984,0.1118696194824649,0.3032516837120056,0.6,110.68307605202077,0.14930070510650895,5
PPO-Randomized,variable_wind,-197.13728908386858,0.12053515554149564,0.3021480441093445,0.4,143.9209224605357,0.0,5
PPO-Randomized+Safety,variable_wind,-173.84295153250318,0.11884376759882402,0.3014839291572571,0.6,133.03236073954218,0.10675921402610897,5
NoControl,out_of_distribution_wind,-68.2651558146649,0.11401672713979934,0.31647807359695435,1.0,0.0,0.0,5
PD,out_of_distribution_wind,-37.95954517435209,0.06413766067618754,0.3062352240085602,0.2,216.5190315454849,0.0,5
PPO,out_of_distribution_wind,-81.8543868071154,0.07649648861022745,0.3142435848712921,0.6,214.20603604600348,0.0,5
PPO+Safety,out_of_distribution_wind,-67.06649098824201,0.07609837020562746,0.3087039291858673,0.6,207.0162687840431,0.02917381765089258,5
PPO-Randomized,out_of_distribution_wind,-89.47964791099216,0.0767803089223922,0.3063161373138428,0.6,254.00034268252836,0.0,5
PPO-Randomized+Safety,out_of_distribution_wind,-66.34901119103338,0.07320518506573775,0.31153422594070435,0.6,250.56153534721892,0.02616929674320754,5
