controller,scenario,seed,avg_return,mean_abs_theta,max_abs_theta,failure_rate,control_energy,intervention_rate,n_episodes
NoControl,normal_wind,42,-9.404925486989205,0.05820307078153689,0.2573004961013794,0.0,0.0,0.0,20
PD,normal_wind,42,-2.586138272608447,0.020426195321328732,0.09668005257844925,0.0,25.102049801935454,0.0,20
PPO-Randomized-seed0,normal_wind,0,-31.638435719609635,0.06558765365466836,0.30343693494796753,0.05,505.9620733937527,0.0,20
PPO-Randomized-seed1,normal_wind,1,-2.194556997303275,0.01631049097501043,0.08973875641822815,0.0,43.334212773163955,0.0,20
PPO-Randomized-seed2,normal_wind,2,-2.311903019824003,0.017167498369466887,0.08973875641822815,0.0,45.89689853003407,0.0,20
PPO-seed0,normal_wind,0,-39.1142183706188,0.07061628012095075,0.30547869205474854,0.1,493.5547314598246,0.0,20
PPO-seed1,normal_wind,1,-2.2041692363063157,0.018657657435970188,0.0924951508641243,0.0,31.863191267395916,0.0,20
PPO-seed2,normal_wind,2,-2.1657415892144956,0.01878008970978574,0.08993777632713318,0.0,33.15191648472903,0.0,20
PPO-Randomized-seed0+Safety,normal_wind,0,-44.32697279885679,0.0693111920175712,0.2868098020553589,0.0,517.8871173530106,0.04185,20
PPO-Randomized-seed1+Safety,normal_wind,1,-2.236571622042386,0.016429862464583313,0.09033575654029846,0.0,44.32105242708922,0.0,20
PPO-Randomized-seed2+Safety,normal_wind,2,-2.3095020080523563,0.01708863291663132,0.08973875641822815,0.0,45.89656621894936,0.0,20
PPO-seed0+Safety,normal_wind,0,-55.109836524392776,0.06846489893842125,0.3036552965641022,0.05,497.5171510823602,0.09723806646525679,20
PPO-seed1+Safety,normal_wind,1,-2.196217391505163,0.018449660531365295,0.09135925024747849,0.0,32.10812421665505,0.0,20
PPO-seed2+Safety,normal_wind,2,-2.1826251454599777,0.01885049458840572,0.08973875641822815,0.0,33.52490196909664,0.0,20
NoControl,strong_wind,42,-97.73028710472796,0.10089158532823209,0.3188672363758087,0.95,0.0,0.0,20
PD,strong_wind,42,-10.100671886901791,0.04026126472070972,0.17810052633285522,0.0,98.80298949259462,0.0,20
PPO-Randomized-seed0,strong_wind,0,-95.64611725257815,0.09743397916409274,0.3132734000682831,0.9,242.95920304318201,0.0,20
PPO-Randomized-seed1,strong_wind,1,-7.80138889461332,0.03317931438314119,0.18609389662742615,0.0,131.30653429752942,0.0,20
PPO-Randomized-seed2,strong_wind,2,-7.941544010493035,0.03405437796160118,0.18046718835830688,0.0,133.98256026938145,0.0,20
PPO-seed0,strong_wind,0,-139.8831104060701,0.09767091808862044,0.3103942275047302,0.65,344.1618772319323,0.0,20
PPO-seed1,strong_wind,1,-8.083883014333441,0.03639634453790263,0.19675076007843018,0.0,104.37838908319559,0.0,20
PPO-seed2,strong_wind,2,-7.97973531360036,0.037548199355219004,0.1976165473461151,0.0,105.40700645746836,0.0,20
PPO-Randomized-seed0+Safety,strong_wind,0,-78.01986854554043,0.1004607249316068,0.31082916259765625,0.8,238.12045171651863,1.114896043061413,20
PPO-Randomized-seed1+Safety,strong_wind,1,-7.813409598083224,0.03311717844335594,0.18752342462539673,0.0,131.78954403574272,0.0,20
PPO-Randomized-seed2+Safety,strong_wind,2,-7.956003515714019,0.034000069031176756,0.17976905405521393,0.0,134.1885994927305,0.0,20
PPO-seed0+Safety,strong_wind,0,-115.37562388957949,0.10066956412937449,0.31189554929733276,0.85,277.65281118288306,0.8302648003097086,20
PPO-seed1+Safety,strong_wind,1,-8.072787249073476,0.03636708837746624,0.1976107805967331,0.0,103.89826442034878,0.0,20
PPO-seed2+Safety,strong_wind,2,-7.997020567198197,0.03773808814364017,0.19743014872074127,0.0,104.53631350147957,0.0,20
NoControl,variable_wind,42,-201.86377474363815,0.11782412570485043,0.30735522508621216,1.0,0.0,0.0,20
PD,variable_wind,42,-10.903382461849402,0.06441304565793934,0.20193377137184143,0.0,154.3498992925812,0.0,20
PPO-Randomized-seed0,variable_wind,0,-188.76830664207438,0.10939499184844437,0.31066960096359253,1.0,327.47039579158917,0.0,20
PPO-Randomized-seed1,variable_wind,1,-12.351672688218022,0.07649883459859651,0.19937746226787567,0.0,140.1617052117387,0.0,20
PPO-Randomized-seed2,variable_wind,2,-13.637096683201321,0.08469103841113629,0.2126786857843399,0.0,127.27338591289927,0.0,20
PPO-seed0,variable_wind,0,-149.8495010611639,0.10677746532498833,0.3085196614265442,1.0,307.57980797813246,0.0,20
PPO-seed1,variable_wind,1,-11.617982241651948,0.07150495451854026,0.20063047111034393,0.0,140.18912951511473,0.0,20
PPO-seed2,variable_wind,2,-14.721149380289535,0.09113643236892482,0.23288211226463318,0.0,103.18831263542651,0.0,20
PPO-Randomized-seed0+Safety,variable_wind,0,-160.15323291230663,0.11006144501638741,0.30877840518951416,1.0,295.8875978701095,0.6176800354185905,20
PPO-Randomized-seed1+Safety,variable_wind,1,-12.338894762003743,0.07636358931152877,0.19888712465763092,0.0,140.2293810259368,0.0,20
PPO-Randomized-seed2+Safety,variable_wind,2,-13.64040470456455,0.08457032585730387,0.21144817769527435,0.0,127.9518912249886,0.0,20
PPO-seed0+Safety,variable_wind,0,-196.59978337742288,0.10547444370119949,0.30840247869491577,1.0,272.75503148730525,0.5711603670565853,20
PPO-seed1+Safety,variable_wind,1,-11.654538511054147,0.07174396218159046,0.20026470720767975,0.0,140.04909328765362,0.0,20
PPO-seed2+Safety,variable_wind,2,-14.718074840891035,0.09109877031213445,0.23124390840530396,0.0,102.85247952138539,0.0,20
NoControl,out_of_distribution_wind,42,-49.774869965445745,0.11494668672250213,0.319945365190506,1.0,0.0,0.0,20
PD,out_of_distribution_wind,42,-36.78188499943134,0.06416801201894873,0.3104366660118103,0.35,189.5778705164464,0.0,20
PPO-Randomized-seed0,out_of_distribution_wind,0,-66.79269002290195,0.11373893551143434,0.3218541145324707,1.0,87.01340299880776,0.0,20
PPO-Randomized-seed1,out_of_distribution_wind,1,-21.75461865788903,0.056974230110116736,0.30989566445350647,0.1,252.74911580599337,0.0,20
PPO-Randomized-seed2,out_of_distribution_wind,2,-22.06330053872709,0.05853310355949477,0.30229058861732483,0.1,255.97117908888723,0.0,20
PPO-seed0,out_of_distribution_wind,0,-82.71867496786318,0.11629403811503725,0.3143939971923828,1.0,90.79627909862397,0.0,20
PPO-seed1,out_of_distribution_wind,1,-21.497495904732006,0.060399048814109804,0.30855873227119446,0.1,212.72875231712572,0.0,20
PPO-seed2,out_of_distribution_wind,2,-21.809555004952255,0.06298177241826872,0.3120598793029785,0.1,210.55884734198486,0.0,20
PPO-Randomized-seed0+Safety,out_of_distribution_wind,0,-72.52547504173728,0.1017806544764495,0.31968823075294495,1.0,96.534988363893,2.790475493562977,20
PPO-Randomized-seed1+Safety,out_of_distribution_wind,1,-21.21015264730233,0.05693599073438526,0.30742746591567993,0.1,252.93767283089863,0.007512371663244354,20
PPO-Randomized-seed2+Safety,out_of_distribution_wind,2,-21.50003659016793,0.058414103348776045,0.3099716603755951,0.1,255.3804997517214,0.007584943917169976,20
PPO-seed0+Safety,out_of_distribution_wind,0,-47.22766083890469,0.11490052288423609,0.32238590717315674,1.0,70.18099640349365,1.2458221762954649,20
PPO-seed1+Safety,out_of_distribution_wind,1,-22.03564414794425,0.06044304070692693,0.3187190592288971,0.1,211.9200085400027,0.01976948016859397,20
PPO-seed2+Safety,out_of_distribution_wind,2,-21.29827739339111,0.06284917087228595,0.30996719002723694,0.1,211.56963009450592,0.006283599108742191,20
