controller,scenario,n_seeds,avg_return,avg_return_std,avg_return_min,avg_return_max,mean_abs_theta,mean_abs_theta_std,mean_abs_theta_min,mean_abs_theta_max,max_abs_theta,max_abs_theta_std,max_abs_theta_min,max_abs_theta_max,failure_rate,failure_rate_std,failure_rate_min,failure_rate_max,control_energy,control_energy_std,control_energy_min,control_energy_max,intervention_rate,intervention_rate_std,intervention_rate_min,intervention_rate_max,n_episodes
NoControl,normal_wind,1,-9.404925486989205,0.0,-9.404925486989205,-9.404925486989205,0.05820307078153689,0.0,0.05820307078153689,0.05820307078153689,0.2573004961013794,0.0,0.2573004961013794,0.2573004961013794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
NoControl,out_of_distribution_wind,1,-49.774869965445745,0.0,-49.774869965445745,-49.774869965445745,0.11494668672250213,0.0,0.11494668672250213,0.11494668672250213,0.319945365190506,0.0,0.319945365190506,0.319945365190506,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
NoControl,strong_wind,1,-97.73028710472796,0.0,-97.73028710472796,-97.73028710472796,0.10089158532823209,0.0,0.10089158532823209,0.10089158532823209,0.3188672363758087,0.0,0.3188672363758087,0.3188672363758087,0.95,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
NoControl,variable_wind,1,-201.86377474363815,0.0,-201.86377474363815,-201.86377474363815,0.11782412570485043,0.0,0.11782412570485043,0.11782412570485043,0.30735522508621216,0.0,0.30735522508621216,0.30735522508621216,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
PD,normal_wind,1,-2.586138272608447,0.0,-2.586138272608447,-2.586138272608447,0.020426195321328732,0.0,0.020426195321328732,0.020426195321328732,0.09668005257844925,0.0,0.09668005257844925,0.09668005257844925,0.0,0.0,0.0,0.0,25.102049801935454,0.0,25.102049801935454,25.102049801935454,0.0,0.0,0.0,0.0,20.0
PD,out_of_distribution_wind,1,-36.78188499943134,0.0,-36.78188499943134,-36.78188499943134,0.06416801201894873,0.0,0.06416801201894873,0.06416801201894873,0.3104366660118103,0.0,0.3104366660118103,0.3104366660118103,0.35,0.0,0.35,0.35,189.5778705164464,0.0,189.5778705164464,189.5778705164464,0.0,0.0,0.0,0.0,20.0
PD,strong_wind,1,-10.100671886901791,0.0,-10.100671886901791,-10.100671886901791,0.04026126472070972,0.0,0.04026126472070972,0.04026126472070972,0.17810052633285522,0.0,0.17810052633285522,0.17810052633285522,0.0,0.0,0.0,0.0,98.80298949259462,0.0,98.80298949259462,98.80298949259462,0.0,0.0,0.0,0.0,20.0
PD,variable_wind,1,-10.903382461849402,0.0,-10.903382461849402,-10.903382461849402,0.06441304565793934,0.0,0.06441304565793934,0.06441304565793934,0.20193377137184143,0.0,0.20193377137184143,0.20193377137184143,0.0,0.0,0.0,0.0,154.3498992925812,0.0,154.3498992925812,154.3498992925812,0.0,0.0,0.0,0.0,20.0
PPO,normal_wind,3,-14.494709732046537,17.40862857655299,-39.1142183706188,-2.1657415892144956,0.03601800908890223,0.024464723122906772,0.018657657435970188,0.07061628012095075,0.16263720641533533,0.10100957893812722,0.08993777632713318,0.30547869205474854,0.03333333333333333,0.047140452079103175,0.0,0.1,186.18994640398319,217.34036060595395,31.863191267395916,493.5547314598246,0.0,0.0,0.0,0.0,20.0
PPO,out_of_distribution_wind,3,-42.008575292515815,28.78666944846805,-82.71867496786318,-21.497495904732006,0.07989161978247192,0.025761983110107363,0.060399048814109804,0.11629403811503725,0.31167086958885193,0.002398065274810296,0.30855873227119446,0.3143939971923828,0.4000000000000001,0.42426406871192845,0.1,1.0,171.36129291924485,56.9749547949969,90.79627909862397,212.72875231712572,0.0,0.0,0.0,0.0,20.0
PPO,strong_wind,3,-51.982242911334644,62.15531402023576,-139.8831104060701,-7.97973531360036,0.05720515399391402,0.0286174799753154,0.03639634453790263,0.09767091808862044,0.23492051164309183,0.05336914674460464,0.19675076007843018,0.3103942275047302,0.21666666666666667,0.3064129385141706,0.0,0.65,184.64909092419876,112.79335459197989,104.37838908319559,344.1618772319323,0.0,0.0,0.0,0.0,20.0
PPO,variable_wind,3,-58.7295442277018,64.44399279773394,-149.8495010611639,-11.617982241651948,0.08980628407081781,0.014430626586510759,0.07150495451854026,0.10677746532498833,0.2473440816005071,0.045217111544009814,0.20063047111034393,0.3085196614265442,0.3333333333333333,0.4714045207910317,0.0,1.0,183.6524167095579,88.92230257333959,103.18831263542651,307.57980797813246,0.0,0.0,0.0,0.0,20.0
PPO+Safety,normal_wind,3,-19.829559687119307,24.946923610915494,-55.109836524392776,-2.1826251454599777,0.03525501801939742,0.023483502151895604,0.018449660531365295,0.06846489893842125,0.16158443440993628,0.1004614483437425,0.08973875641822815,0.3036552965641022,0.016666666666666666,0.023570226039551587,0.0,0.05,187.71672575603728,219.0627451425396,32.10812421665505,497.5171510823602,0.032412688821752265,0.04583846412470086,0.0,0.09723806646525679,20.0
PPO+Safety,out_of_distribution_wind,3,-30.187194126746686,12.053189253161834,-47.22766083890469,-21.29827739339111,0.07939757815448299,0.025123583594650535,0.06044304070692693,0.11490052288423609,0.3170240521430969,0.005209665418129088,0.30996719002723694,0.32238590717315674,0.4000000000000001,0.42426406871192845,0.1,1.0,164.55687834600076,66.73397940371555,70.18099640349365,211.9200085400027,0.423958418524267,0.5811715148447061,0.006283599108742191,1.2458221762954649,20.0
PPO+Safety,strong_wind,3,-43.815143901950385,50.60091011824734,-115.37562388957949,-7.997020567198197,0.058258246883493625,0.029994552649748204,0.03636708837746624,0.10066956412937449,0.23564549287160239,0.05391698239370076,0.19743014872074127,0.31189554929733276,0.2833333333333333,0.4006938426723769,0.0,0.85,162.02912970157047,81.75870418952958,103.89826442034878,277.65281118288306,0.27675493343656954,0.39139058031965973,0.0,0.8302648003097086,20.0
PPO+Safety,variable_wind,3,-74.32413224312269,86.47098726913698,-196.59978337742288,-11.654538511054147,0.08943905873164147,0.013820331105150567,0.07174396218159046,0.10547444370119949,0.2466370314359665,0.04546907801304277,0.20026470720767975,0.30840247869491577,0.3333333333333333,0.4714045207910317,0.0,1.0,171.88553476544806,72.92410916201307,102.85247952138539,272.75503148730525,0.19038678901886177,0.26924757912713937,0.0,0.5711603670565853,20.0
