step,theta,theta_dot,wind,wave,action,reward
0,0.05448560044169426,-0.0773560181260109,-0.5853105783462524,-0.26043590903282166,-1.0,-0.030960657242630564
1,0.050617799162864685,-0.1057533547282219,0.038352120667696,-0.06324851512908936,-1.0,-0.03315404794972941
2,0.04533012956380844,-0.12097910791635513,-0.00504034711048007,-0.170608788728714,-0.21163176000118256,-0.010492492958142896
3,0.039281174540519714,-0.0810556411743164,0.2638193964958191,0.15555839240550995,0.7731942534446716,-0.019773753245587635
4,0.03522839397192001,-0.04471246525645256,0.019809208810329437,0.22544823586940765,1.0,-0.027240641931446118
5,0.03299276903271675,-0.0702492892742157,0.14025279879570007,-0.17185848951339722,-0.8972888588905334,-0.02368418663864521
6,0.029480304569005966,-0.08152082562446594,0.1106252372264862,-0.19177651405334473,-0.25982996821403503,-0.005879701379976116
7,0.02540426328778267,-0.05140494555234909,0.2635350823402405,-0.00998518243432045,0.7044554352760315,-0.014373047364570617
8,0.022834016010165215,-0.05251408368349075,-0.055458709597587585,-0.1361859142780304,0.3637315630912781,-0.0052077730187484695
9,0.020208312198519707,-0.044248729944229126,0.3667623996734619,-0.030905896797776222,-0.32511091232299805,-0.004029778568031009
10,0.01799587532877922,-0.04785792902112007,-0.12849834561347961,-0.07042670994997025,0.2698584198951721,-0.003289631321891753
11,0.015602978877723217,-0.061372093856334686,0.15969274938106537,0.07308880984783173,-1.0,-0.027126719850582695
12,0.012534374371170998,-0.025508815422654152,0.12381978332996368,0.0861641988158226,1.0,-0.025482460375970017
13,0.011258933693170547,-0.005026707891374826,0.642494261264801,-0.08128300309181213,-0.2910439372062683,-0.0022570618155530946
14,0.011007598601281643,0.003433171659708023,-0.15367281436920166,-0.16275455057621002,1.0,-0.025127060553784848
15,0.011179257184267044,0.04805118590593338,0.18479382991790771,0.2257944643497467,1.0,-0.026279434064703216
16,0.013581816107034683,0.052477650344371796,-0.03418423607945442,-0.16803129017353058,0.6630786061286926,-0.012553248586906415
17,0.016205698251724243,0.019285783171653748,-0.24734435975551605,0.13011856377124786,-1.0,-0.025448595371616322
