step,theta,theta_dot,wind,wave,action,reward
0,0.05448560044169426,-0.052356015890836716,-0.5853105783462524,-0.26043590903282166,0.0,-0.004339256852727849
1,0.05186779797077179,-0.056378357112407684,0.038352120667696,-0.06324851512908936,0.0,-0.004279528119189177
2,0.049048878252506256,-0.06764143705368042,-0.00504034711048007,-0.170608788728714,0.0,-0.004693474820913342
3,0.045666806399822235,-0.04866017773747444,0.2638193964958191,0.15555839240550995,0.0,-0.0032693636691813943
4,0.04323379695415497,-0.038605812937021255,0.019809208810329437,0.22544823586940765,0.0,-0.002614365578175625
5,0.04130350798368454,-0.04246348515152931,0.14025279879570007,-0.17185848951339722,0.0,-0.0026075534922903364
6,0.03918033465743065,-0.04855722561478615,0.1106252372264862,-0.19177651405334473,0.0,-0.0027140006186362475
7,0.036752473562955856,-0.03760432451963425,0.2635350823402405,-0.00998518243432045,0.0,-0.002057786916021309
8,0.034872256219387054,-0.04900288209319115,-0.055458709597587585,-0.1361859142780304,0.0,-0.002416715594164563
9,0.03242211043834686,-0.03360040485858917,0.3667623996734619,-0.030905896797776222,0.0,-0.0016156869283907702
10,0.030742090195417404,-0.04513830691576004,-0.12849834561347961,-0.07042670994997025,0.0,-0.001963809437418086
11,0.028485175222158432,-0.03467642888426781,0.15969274938106537,0.07308880984783173,0.0,-0.0014126325010896102
12,0.026751354336738586,-0.025446707382798195,0.12381978332996368,0.0861641988158226,0.0,-0.0010394023800643906
13,0.025479018688201904,0.0012436725664883852,0.642494261264801,-0.08128300309181213,0.0,-0.000649953768289061
14,0.02554120309650898,-0.016519714146852493,-0.15367281436920166,-0.16275455057621002,0.0,-0.0007888034889113956
15,0.02471521683037281,0.0025071026757359505,0.18479382991790771,0.2257944643497467,0.0,-0.0006139847526692668
16,0.024840572848916054,-0.009519992396235466,-0.03418423607945442,-0.16803129017353058,0.0,-0.0006623691468472723
17,0.024364573881030083,-0.017006326466798782,-0.24734435975551605,0.13011856377124786,0.0,-0.0007382399890659731
18,0.02351425774395466,-0.0018281560624018312,0.22297625243663788,0.10863085091114044,0.0,-0.0005545913858434182
19,0.0234228502959013,-0.011207053437829018,-0.19965291023254395,0.046432264149188995,0.0,-0.0006114289275767748
20,0.022862497717142105,-0.008746418170630932,0.03500574454665184,0.04373772069811821,0.0,-0.0005609437095086977
21,0.022425176575779915,0.005064941942691803,0.2614286243915558,0.044719111174345016,0.0,-0.0005157153741954828
22,0.022678423672914505,0.014115924015641212,0.2036740630865097,0.013515814207494259,0.0,-0.0006139405595956531
23,0.02338421903550625,0.022711817175149918,0.08673582226037979,0.12625764310359955,0.0,-0.0008047350634189333
