step,theta,theta_dot,wind,wave,action,reward
0,0.05448560044169426,-0.16037419438362122,-1.7559316158294678,-0.9115256667137146,-0.6773052215576172,-0.027297180070382027
1,0.0464668907225132,-0.19076693058013916,0.1150563657283783,-0.22136981785297394,-1.0,-0.045355183133741275
2,0.03692854568362236,-0.21306967735290527,-0.015121041797101498,-0.5971307754516602,0.28102725744247437,-0.026037470106080776
3,0.026275061070919037,-0.16871695220470428,0.7914581894874573,0.5444543361663818,-1.0,-0.03992308343763009
4,0.017839213833212852,-0.09904483705759048,0.05942762643098831,0.7890688180923462,1.0,-0.03022317714218633
5,0.012886972166597843,-0.0982738807797432,0.4207583963871002,-0.6015047430992126,0.34680381417274475,-0.008001773695576331
6,0.007973277941346169,-0.13875065743923187,0.3318757116794586,-0.6712177991867065,-1.0,-0.03468944632482365
7,0.0010357450228184462,-0.08904831856489182,0.7906052470207214,-0.034948136657476425,0.3619483709335327,-0.007241040076046727
8,-0.0034166709519922733,-0.09405113011598587,-0.16637612879276276,-0.4766506850719452,1.0,-0.02943448134507976
9,-0.00811922736465931,-0.06683777272701263,1.1002871990203857,-0.10817063599824905,-1.0,-0.02729956581592509
10,-0.011461116373538971,-0.08063305914402008,-0.38549503684043884,-0.24649348855018616,0.6209700703620911,-0.0130222981391026
11,-0.015492768958210945,-0.04561884328722954,0.4790782630443573,0.25581085681915283,-0.18422606587409973,-0.002129046493949949
12,-0.017773710191249847,-0.034664712846279144,0.37145936489105225,0.30157470703125,-1.0,-0.025916725932834683
13,-0.019506946206092834,0.031006773933768272,1.9274828433990479,-0.28449052572250366,-0.7471110224723816,-0.014815602954628046
14,-0.017956607043743134,0.005161657463759184,-0.461018443107605,-0.5696409344673157,1.0,-0.025335761106050615
15,-0.01769852451980114,0.08614952862262726,0.5543814897537231,0.7902805805206299,0.5014824867248535,-0.01031122545610224
16,-0.013391047716140747,0.040200792253017426,-0.10255271196365356,-0.58810955286026,-0.42357105016708374,-0.005472682839106433
17,-0.011381007730960846,0.028116943314671516,-0.742033064365387,0.45541495084762573,0.08990997076034546,-0.0007269036628972039
18,-0.009975160472095013,0.06276436150074005,0.6689287424087524,0.38020798563957214,-0.7184028029441833,-0.014971751099778746
19,-0.00683694239705801,0.01512109860777855,-0.5989587306976318,0.16251292824745178,-1.0,-0.025161067598491512
20,-0.006080887280404568,0.05316080525517464,0.10501722991466522,0.153082013130188,1.0,-0.02645001273968289
21,-0.003422847017645836,0.1144649088382721,0.7842859029769897,0.1565168797969818,0.6054767966270447,-0.015727877565308402
22,0.002300398424267769,0.12973736226558685,0.6110222339630127,0.04730534926056862,-0.6015603542327881,-0.017468055727725945
23,0.008787266910076141,0.14770030975341797,0.2602074444293976,0.4419017434120178,-0.5490621328353882,-0.01852163687037962
24,0.01617228239774704,0.09158825129270554,-1.3114402294158936,-0.22376985847949982,1.0,-0.02945574671827303
25,0.020751694217324257,0.019558129832148552,-0.42333540320396423,-0.4472144842147827,-1.0,-0.02562189306247056
26,0.021729601547122,0.03554777428507805,-0.24762803316116333,1.0464589595794678,-0.8762627840042114,-0.020299909348973678
27,0.02350698970258236,0.002956701908260584,-0.7792479991912842,0.677794873714447,-1.0,-0.025556949634555383
28,0.023654824122786522,-0.09044894576072693,-1.5145827531814575,-0.23441952466964722,-0.164743572473526,-0.005328567674399156
29,0.019132377579808235,-0.0871201679110527,0.14647775888442993,0.4103556275367737,-1.0,-0.02916100936576798
30,0.01477636955678463,-0.0516047440469265,0.6401039361953735,0.5553430914878845,-1.0,-0.02654986582130491
31,0.012196131981909275,-0.0625409260392189,-0.31385257840156555,-0.3236462473869324,0.8302745819091797,-0.0193383266167114
32,0.00906908605247736,-0.03833047300577164,0.7721782922744751,-0.13391302525997162,-0.33406493067741394,-0.003606845334095967
33,0.007152562495321035,-0.11012332886457443,-1.1481176614761353,-0.7933010458946228,1.0,-0.03111473301825962
34,0.001646396005526185,-0.1477215588092804,-0.8275070786476135,0.3480125069618225,-0.63360595703125,-0.020949953513460372
35,-0.005739681888371706,-0.11616290360689163,0.12818315625190735,0.48333975672721863,-0.10348197817802429,-0.007047567016167283
36,-0.011547827161848545,-0.1239093616604805,-0.38452738523483276,0.11097778379917145,0.10385896265506744,-0.00807978424840999
37,-0.017743295058608055,-0.1050286740064621,0.5630313754081726,-0.2165425717830658,-0.09630298614501953,-0.006062192587524808
