step,theta,theta_dot,wind,wave,action,reward
0,0.05448560044169426,-0.11559310555458069,-1.1706211566925049,-0.5208718180656433,-0.8379907011985779,-0.027205274130756053
1,0.048705946654081345,-0.11368867009878159,0.076704241335392,-0.1264970302581787,0.22362667322158813,-0.01008504826083046
2,0.043021515011787415,-0.1570643186569214,-0.01008069422096014,-0.341217577457428,-1.0,-0.039185449743347534
3,0.035168297588825226,-0.13231530785560608,0.5276387929916382,0.3111167848110199,-0.7155505418777466,-0.022790794327783418
4,0.028552532196044922,-0.08211930096149445,0.039618417620658875,0.4508964717388153,1.0,-0.029187037009137776
5,0.02444656752049923,-0.11036832630634308,0.28050559759140015,-0.34371697902679443,-1.0,-0.03168821848548477
6,0.018928151577711105,-0.14172549545764923,0.2212504744529724,-0.38355302810668945,-0.966710090637207,-0.033764542358138444
7,0.011841876432299614,-0.13208797574043274,0.527070164680481,-0.0199703648686409,-0.7136398553848267,-0.021595892696519
8,0.005237477831542492,-0.152566596865654,-0.11091741919517517,-0.2723718285560608,-0.149128720164299,-0.012221698792980901
9,-0.002390851965174079,-0.13721558451652527,0.7335247993469238,-0.061811793595552444,-0.8662395477294922,-0.028179047853121766
10,-0.009251630865037441,-0.1284983903169632,-0.25699669122695923,-0.1408534198999405,1.0,-0.033341510369489014
11,-0.015676550567150116,-0.12631389498710632,0.31938549876213074,0.14617761969566345,-1.0,-0.033223355074061045
12,-0.021992245689034462,-0.10253860801458359,0.24763956665992737,0.1723283976316452,-0.06226806342601776,-0.005837674865972985
13,-0.02711917646229267,-0.025071531534194946,1.284988522529602,-0.16256600618362427,0.6853225827217102,-0.012791416632945592
14,-0.02837275341153145,-0.029053540900349617,-0.3073456287384033,-0.32550910115242004,1.0,-0.026227067250355444
15,-0.029825430363416672,-0.010140417143702507,0.36958765983581543,0.4515889286994934,-1.0,-0.0259409703338361
16,-0.030332451686263084,-0.029608022421598434,-0.06836847215890884,-0.33606258034706116,-0.06945879012346268,-0.0014789881821766766
17,-0.03181285411119461,-0.028912102803587914,-0.4946887195110321,0.2602371275424957,0.37613463401794434,-0.004966944021994742
18,-0.03325846046209335,-0.01764262653887272,0.44595250487327576,0.21726170182228088,-1.0,-0.026261756232093248
19,-0.03414059057831764,-0.055029239505529404,-0.3993058204650879,0.09286452829837799,-1.0,-0.027679688695620437
20,-0.03689205273985863,-0.06821861863136292,0.07001148909330368,0.08747544139623642,-1.0,-0.028687913463604185
21,-0.04030298441648483,-0.03627661243081093,0.5228572487831116,0.08943822234869003,-0.12580543756484985,-0.00267800194268824
22,-0.042116813361644745,-0.03562798351049423,0.4073481261730194,0.027031628414988518,-1.0,-0.027408502766772105
23,-0.043898213654756546,0.006581955123692751,0.17347164452075958,0.2525152862071991,0.6744452714920044,-0.013320624737982862
24,-0.043569114059209824,-0.015398326329886913,-0.8742935061454773,-0.12786848843097687,1.0,-0.027016822092041114
25,-0.04433903098106384,-0.013634420931339264,-0.28222358226776123,-0.25555112957954407,1.0,-0.027058898335535052
