step,theta,theta_dot,wind,wave,action,reward
0,0.026241270825266838,-0.008338401094079018,-0.3214016258716583,0.14463801681995392,1.0,-0.025723368753231984
1,0.025824351236224174,0.056613173335790634,0.7824000120162964,0.3788323998451233,0.345983624458313,-0.005262039585813953
2,0.02865500934422016,-0.018159469589591026,-0.4222411513328552,-0.5061686038970947,-1.0,-0.025985992746734687
3,0.027747035026550293,-0.04348347708582878,-0.37396466732025146,0.016530390828847885,-0.2302861213684082,-0.003041096778696536
4,0.02557286061346531,-0.093604177236557,-1.395018458366394,-0.0875166654586792,1.0,-0.03003484195205472
5,0.02089265175163746,-0.12020470947027206,-0.7475465536117554,-0.2929069399833679,1.0,-0.03266108939449108
6,0.01488241646438837,-0.16642031073570251,-0.32655540108680725,-0.1265200674533844,-1.0,-0.03906934664172659
7,0.006561400834470987,-0.1551768034696579,0.24697832763195038,0.41700536012649536,-1.0,-0.037082971723299954
8,-0.0011974393855780363,-0.1261729747056961,-0.07712079584598541,0.5465853810310364,0.08573164790868759,-0.008144990639580154
9,-0.007506088353693485,-0.11085448414087296,-0.3991168141365051,0.14060403406620026,1.0,-0.03120069935848359
10,-0.013048812747001648,-0.054916273802518845,0.5420821309089661,0.037604920566082,0.9447815418243408,-0.023993474208768392
11,-0.015794627368450165,-0.10855685919523239,-0.44609954953193665,-0.36869016289711,-0.6101065874099731,-0.015447516883231578
12,-0.021222470328211784,-0.10776723176240921,-0.2746354937553406,0.08807805180549622,0.24875910580158234,-0.007804309068886548
13,-0.026610832661390305,-0.1629534214735031,-0.6057708859443665,-0.0836702287197113,-1.0,-0.03898504535966655
14,-0.03475850448012352,-0.1258436143398285,-0.09553500264883041,0.21633823215961456,1.0,-0.03412646093392784
15,-0.041050683706998825,-0.08264335989952087,0.12879547476768494,0.14214909076690674,0.9560018181800842,-0.027948608374568213
16,-0.04518285021185875,-0.09294592589139938,-0.3922971785068512,-0.051845453679561615,0.2703872621059418,-0.008188694272338863
17,-0.04983014613389969,-0.058845676481723785,0.47038528323173523,0.5973724722862244,-1.0,-0.029214450349996864
18,-0.05277242884039879,-0.061148181557655334,-0.7554393410682678,0.6055694818496704,-0.0006967484951019287,-0.004654491629413686
19,-0.055829837918281555,0.013585763983428478,0.8075252771377563,0.31252455711364746,0.5297927260398865,-0.010226265608142424
20,-0.05515054985880852,0.04408856853842735,0.15867337584495544,-0.12556912004947662,1.0,-0.029013484151935248
21,-0.052946120500564575,0.10506843030452728,0.8748124241828918,0.7841033339500427,-1.0,-0.033322979518122756
22,-0.04769269749522209,0.17788293957710266,1.080980896949768,0.5260415077209473,-0.35523438453674316,-0.021250550471299718
23,-0.03879855200648308,0.1840135008096695,0.21442824602127075,-0.4833274483680725,0.8178258538246155,-0.03515679060615334
24,-0.029597876593470573,0.1762709617614746,-0.0026724799536168575,0.2625899612903595,-0.761918842792511,-0.030924767770891672
25,-0.020784327760338783,0.14832769334316254,-0.7730168700218201,0.1580488234758377,0.19968296587467194,-0.012429373761740423
26,-0.013367943465709686,0.17653673887252808,0.25791820883750916,0.27841708064079285,0.1416659951210022,-0.016263043681889095
27,-0.0045411065220832825,0.09936832636594772,-0.7104707956314087,-0.26468104124069214,-1.0,-0.02995765372635939
28,0.0004273098020348698,0.0548071563243866,-0.2618611454963684,-0.4679207503795624,-0.23713792860507965,-0.002907954774980779
29,0.0031676676589995623,0.10303197056055069,1.0436207056045532,-0.1983642876148224,0.29456883668899536,-0.0074870977178180705
30,0.008319266140460968,0.07991623133420944,0.19738177955150604,-0.10342901945114136,-1.0,-0.0282625124339607
31,0.01231507770717144,0.16644111275672913,0.9500837326049805,0.5281444191932678,0.6094131469726562,-0.02328759317437241
32,0.020637134090065956,0.1612868309020996,0.38001158833503723,-0.881403923034668,1.0,-0.03843261287414592
33,0.028701474890112877,0.19198143482208252,0.031217385083436966,0.27347448468208313,0.8415988683700562,-0.036959427703391536
34,0.03830054774880409,0.18658608198165894,0.6023769378662109,-0.2471628189086914,-0.6481567621231079,-0.02937679339502124
35,0.04762985184788704,0.21277271211147308,1.093206763267517,-0.5281723737716675,0.21888384222984314,-0.026102468492512156
36,0.05826848745346069,0.21711480617523193,-0.39691680669784546,0.374019980430603,0.5751394629478455,-0.035234270104809375
37,0.06912422925233841,0.2424037605524063,0.029432768002152443,0.8009570240974426,-0.25730106234550476,-0.035813046936893266
38,0.08124441653490067,0.24915103614330292,0.11311151832342148,-0.25327762961387634,1.0,-0.06263877653193559
39,0.09370196610689163,0.21440498530864716,-0.22653810679912567,-0.43645843863487244,0.42903563380241394,-0.03636659861713243
40,0.10442221164703369,0.18152053654193878,-0.7666081190109253,0.2521646022796631,0.20902013778686523,-0.028471088004024266
41,0.11349824070930481,0.20390160381793976,0.3486994802951813,0.5178235173225403,-0.3430161476135254,-0.03661128419812474
42,0.1236933171749115,0.1764356642961502,-0.45276346802711487,0.6756429672241211,-1.0,-0.0558648106324668
43,0.1325151026248932,0.1744653880596161,-0.17243263125419617,0.6297633051872253,-0.4459565579891205,-0.03775127002463367
