step,theta,theta_dot,wind,wave,action,reward
0,-0.048685118556022644,0.06781530380249023,1.079824447631836,0.4576663374900818,0.28048229217529297,-0.006636456076335876
1,-0.04529435187578201,0.0734400600194931,-0.19525370001792908,0.3095226287841797,-0.08178780972957611,-0.004915530540560457
2,-0.0416223481297493,0.06963372975587845,0.16872639954090118,-0.22152914106845856,-0.10909067839384079,-0.004454367597112014
3,-0.038140662014484406,0.09361150860786438,0.5865404605865479,-0.12422262132167816,-0.020757973194122314,-0.005847039424491139
4,-0.033460088074207306,0.05663616582751274,-0.19729433953762054,-0.31685870885849,-0.4715181589126587,-0.008281639304512655
5,-0.030628278851509094,0.06019872799515724,0.2729748487472534,-0.03967922180891037,-0.36783286929130554,-0.00613256042155245
6,-0.027618343010544777,0.06632543355226517,0.32717323303222656,-0.24287427961826324,0.04478408396244049,-0.0030124445417704826
7,-0.02430207096040249,0.04779072478413582,0.07609670609235764,-0.3569096028804779,-0.19629210233688354,-0.0026958321254186833
8,-0.021912533789873123,0.07467909157276154,0.5048789978027344,0.07521403580904007,-0.10976683348417282,-0.0035698615167023035
9,-0.018178578466176987,0.08782362937927246,0.19834260642528534,0.16420157253742218,-0.1903654783964157,-0.005092930755973876
10,-0.013787397183477879,0.06367626041173935,-0.6064544916152954,0.3132723867893219,-0.3462426960468292,-0.005214525445043031
11,-0.010603584349155426,0.08229979127645493,1.2340216636657715,-0.6553770303726196,-0.3900340497493744,-0.0073022278722249005
12,-0.006488594692200422,-0.01144181378185749,-1.0376468896865845,-0.6019325852394104,-0.42001625895500183,-0.004517900854407969
13,-0.007060685195028782,0.01413074042648077,0.5048753619194031,0.05148626118898392,-0.12072862684726715,-0.0005140772243477856
14,-0.006354148034006357,0.061279211193323135,0.6470054388046265,0.2889723479747772,0.006931914947926998,-0.0019191473874582657
15,-0.003290187567472458,0.07183177769184113,0.12634308636188507,0.1136152595281601,-0.01559719443321228,-0.0025968094136171044
16,0.0003014013054780662,0.07571958750486374,-0.1018562987446785,0.34738409519195557,-0.273581862449646,-0.004737994887838305
17,0.004087380599230528,0.022336076945066452,-0.6778295636177063,-0.1687435358762741,-0.36557042598724365,-0.003607200250751725
18,0.0052041844464838505,0.058542102575302124,0.1457633078098297,0.7205683588981628,-0.2498241364955902,-0.0033009747997112867
19,0.008131289854645729,0.010781202465295792,-0.4586784839630127,-0.431624174118042,-0.055676043033599854,-0.0002017305774577473
20,0.008670349605381489,0.00863661989569664,-0.3379723131656647,0.3877088725566864,-0.15008136630058289,-0.0006755809803446774
21,0.00910218060016632,0.02951938286423683,-0.1410033106803894,0.5297387838363647,0.09248720854520798,-0.0007323937884522455
22,0.010578149929642677,-0.005070128478109837,-1.1235177516937256,0.451409250497818,0.01746237277984619,-0.000132373715698058
23,0.010324643924832344,-0.002410548971965909,0.6209197640419006,-0.5674662590026855,0.026140566915273666,-0.0001265868675736262
24,0.010204116813838482,0.02645912580192089,0.09214913100004196,0.48630306124687195,0.026446029543876648,-0.00047165149250631927
25,0.01152707263827324,0.04848615080118179,0.05275142565369606,0.3998805582523346,0.032888468354940414,-0.0013353680843946017
26,0.013951379805803299,0.12219959497451782,1.4249321222305298,0.10957290232181549,-0.03740505874156952,-0.007695989685915694
27,0.02006135880947113,0.08353317528963089,-0.1682293862104416,-0.308420866727829,-0.42930254340171814,-0.008498870688912108
28,0.024238018319010735,0.08301980793476105,0.3888387680053711,-0.07869202643632889,-0.4971107840538025,-0.010211604305224753
29,0.028389008715748787,0.05553499981760979,-0.10724782198667526,-0.04210391268134117,-0.6449549198150635,-0.012747175236223526
30,0.03116575814783573,0.041479140520095825,0.38992178440093994,-0.42653584480285645,-0.3483041822910309,-0.004864459209062036
31,0.03323971480131149,-0.06304404139518738,-0.9179258942604065,-0.9735506772994995,-0.26299765706062317,-0.004821348341527924
32,0.030087511986494064,-0.02787446789443493,0.7192025184631348,0.029517343267798424,-0.053981758654117584,-0.0013666021834767353
33,0.028693787753582,0.01995970867574215,0.906071662902832,-0.003582519246265292,0.1707768738269806,-0.0017516470049189405
34,0.029691772535443306,0.006462774705141783,-0.44529327750205994,0.19117172062397003,0.07440681755542755,-0.0010408944854777091
35,0.03001491166651249,-0.029626978561282158,-0.04595304653048515,-0.5016746520996094,-0.25279659032821655,-0.0029374267129910437
36,0.028533563017845154,-0.02314845472574234,-0.5310399532318115,0.7067117094993591,-0.03178481385111809,-0.0011073465216037727
37,0.027376139536499977,-0.0033700449857860804,0.2126103639602661,0.16655461490154266,0.0952586829662323,-0.0009819870752078045
38,0.027207637205719948,-0.023643014952540398,-0.16593103110790253,-0.2758878171443939,0.15147729218006134,-0.0015933858534312104
39,0.02602548711001873,0.00013946289254818112,0.5349934697151184,-0.041850581765174866,0.022993193939328194,-0.0006905528445179267
40,0.02603246085345745,-0.029036732390522957,-0.4554648697376251,-0.05365140736103058,-0.07059934735298157,-0.0012238616041715276
41,0.02458062395453453,-0.052080925554037094,-0.543363630771637,0.0760183334350586,0.06198348104953766,-0.0020564672783769064
42,0.02197657711803913,-0.032228901982307434,0.6775366067886353,-0.33443406224250793,0.12953689694404602,-0.0014218161947019067
43,0.02036513201892376,-0.0009070005035027862,0.8571264147758484,-0.2670479714870453,0.10642004013061523,-0.0006982805506652566
44,0.020319782197475433,-0.015398828312754631,0.0920472964644432,-0.33455461263656616,-0.0344700887799263,-0.0005611601713098386
45,0.019549841061234474,-0.02377830445766449,-0.13334110379219055,0.018961764872074127,-0.06085982173681259,-0.0007574980820921655
46,0.01836092583835125,-0.050263870507478714,-0.2608109712600708,-0.28115516901016235,0.05938081443309784,-0.0016885039827077434
47,0.01584773138165474,-0.08266602456569672,-0.4067317247390747,-0.32846397161483765,0.17912419140338898,-0.004470123205904125
48,0.011714430525898933,-0.12094810605049133,-0.9420480132102966,-0.10518784075975418,0.52806556224823,-0.014422781088834753
49,0.005667025223374367,-0.07664245367050171,0.24069492518901825,0.36336076259613037,0.4783100187778473,-0.008688659630349909
50,0.0018349025631323457,0.008238192647695541,0.3882616460323334,0.9829345941543579,0.5931919813156128,-0.008834218943545412
51,0.002246812218800187,0.009457086212933064,0.19120898842811584,-0.18253356218338013,0.04514779895544052,-0.00010072449932340126
52,0.002719666576012969,0.04520006850361824,1.1229808330535889,-0.4188872277736664,0.03772968426346779,-0.0010645078632838777
53,0.00497967004776001,0.04765142500400543,0.5810865759849548,-0.38205790519714355,-0.2466440349817276,-0.002680958208894955
54,0.007362241391092539,0.010638924315571785,0.2124669998884201,-0.7873587012290955,-0.2681261897087097,-0.0019080872897620888
55,0.007894187234342098,0.031988129019737244,0.5395642518997192,-0.06329904496669769,-0.06583649665117264,-0.000682299523265101
56,0.00949359405785799,0.029767362400889397,-0.5806089043617249,0.6713676452636719,-0.21467740833759308,-0.001685336017276211
57,0.010981962084770203,0.04994681477546692,0.4592128098011017,0.018323134630918503,-0.0896456241607666,-0.0015688541264104552
58,0.013479302637279034,0.019986500963568687,-0.4472660422325134,-0.017345035448670387,-0.1862977296113968,-0.0012490928080354667
59,0.01447862759232521,0.025168169289827347,-0.09835726022720337,0.28991058468818665,-0.115415558218956,-0.0008593677962056452
60,0.015737036243081093,0.030183298513293266,0.47884511947631836,-0.26710253953933716,-0.15427592396736145,-0.001298196552637132
61,0.017246201634407043,-0.002453118097037077,-0.3296223282814026,-0.21282613277435303,-0.14316532015800476,-0.0008128480712350755
62,0.017123546451330185,-0.05703471973538399,-0.8095903396606445,-0.23662994801998138,-0.041537974029779434,-0.0019628305240615117
63,0.0142718106508255,-0.038164734840393066,-0.05544484034180641,0.2763807773590088,0.3072633743286133,-0.003292227657482544
64,0.012363573536276817,-0.011537924408912659,0.7922276854515076,-0.3233383595943451,0.1319444179534912,-0.0006546530485964056
65,0.011786676943302155,-0.0004519862122833729,0.33058592677116394,-0.17778272926807404,0.16338394582271576,-0.0008063857517367858
66,0.011764077469706535,0.06107218936085701,1.245112657546997,-0.01948941871523857,0.044628504663705826,-0.0020530921626266577
67,0.014817686751484871,0.05239779129624367,0.30127617716789246,-0.37446486949920654,-0.10423410683870316,-0.0018639468853593342
68,0.01743757724761963,0.02060471847653389,-0.4864136874675751,0.08067812025547028,-0.36340096592903137,-0.003817852819592229
69,0.018467813730239868,0.006936490070074797,-0.2304326742887497,0.14131543040275574,-0.2955772280693054,-0.002549265012923911
70,0.018814638257026672,-0.026062486693263054,-0.9370944499969482,0.2648019790649414,0.08696582913398743,-0.000882693603207862
